ID;Tag;Kategória;Štúdium;Autor;Otázka;Obmena 1;Obmena 2;Obmena 3;Obmena 4;Odpoveď 1;Odpoveď 2;Odpoveď 3
404;;Dekanát;;AP;Kto je prodekan pre vzdelávanie?;Aké je meno prodekana pre vzdelávanie?;Ako sa volá prodekan pre vzdelávanie?;Meno prodekana pre vzdelávanie?;Priezvisko prodekana pre vzdelávanie?;;;
405;;Dekanát;;AP;Kto je prodekan pre vedu a výskum?;Aké je meno prodekana pre vedu a výskum?;Ako sa volá prodekan pre vedu a výskum?;Kto má na starosti vedu a výskum?;Meno prodekana pre vedu a výskum?;;;
406;;Dekanát;;AP;Kto je prodekan pre zahraničné vzťahy?;Aké je meno prodekana pre zahraničné vzťahy?;Ako sa volá prodekan pre zahraničné vzťahy?;Kto má na starosti zahraničné vzťahy?;Meno prodekana pre zahraničné vzťahy?;;;
168;;Erazmus;;JO;Je možné sa na FRI zapojiť do programu Erasmus? ;Dá sa ísť na ERAZMUS?;Môžem ísť na ERAZMUS?;Je možné ísť na erazmus?;Je tu možnosť yúčastniť sa na erazme?;;;
191;;Erazmus;;JK, AP;Koho mám kontaktovať ak chcem vycestovať v rámci študentského programu erazmus?;Kto mi pomôže s ERAZMUS+?;Kto má na starosti ERAZMUS?;Za kým ísť kvôli erazmu?;Kto mi dá informácie o erazme?;;;
287;;Erazmus;;JK, AP;Aké možnosti Erasmu ponúka FRI?;Aké sú možnosti ERAZMU?;Aké sú možnosti zahraničných stáží?;Ako funguje erazmus?;Kedy sa dá ísť na eraymus?;;;
144;;Internát;;JO;Kde sa nachádzajú internáty?;Kde sú internáty?;Kde sú intráky?;Kde nájdem internát?;Kde sa nachádzajú intráky?;;;
77;;ISIC;;JO;Kde dostanem preukaz študenta?;Kde dostanem ISIC?;Kde mi vydajú ISIC?;Kde mi vydajú preukaz študenta?;;;;
78;;ISIC;;JO;Kedy dostanem preukaz študenta?;Kedy dostanem ISIC?;Kedy mi dajú isic?;Termín kedy mi dajú isic?;Kedy si ísť po isic?;;;
79;;ISIC;;JO, AP;Aký vysoký je poplatok za preukaz študenta?;Koľko stojí ISIC?;Koľko stojí preukaz študenta?;Koľko sa platí za ISIC?;Koľko sa platí za preukaz študenta?;;;
126;;ISIC;;JO;Je možné používať kartu ISIC aj v MHD?;Môžem cestovať s ISIC aj v MHD?;Je možné používať preukaz študenta aj v MHD?;Môžem cestovať s preukazom študenta aj v MHD?;;;;
127;;ISIC;;JO;Je možné používať kartu ISIC v SAD?;Môžem cestovať s ISIC aj v SAD?;Je možné používať kartu preukaz študenta v SAD?;Môžem cestovať s preukazom študenta aj v SAD?;;;;
128;;ISIC;;JO;Je možné používať kartu ISIC vo vlaku?;Môžem cestovať s ISIC aj vlakom?;Je možné používať kartu preukaz študenta vo vlaku?;Môžem cestovať s preukazom študenta aj vlakom?;;;;
158;;ISIC;;JO, JK;Kde je možné znovu aktivovať preukaz ISIC?;Kde si môžem aktivovať ISIC kartu?;Kde si môžem aktivovať preukaz študenta?;Kde sa aktivuje isic?;Kde sa akticuje preukaz študenta?;;;
159;;ISIC;;JO;Je možné znovu aktivovať preukat ISIC?;Môžem si predľžiť  platnosť ISIC?;Je možné znovu aktivovať preukat študenta?;Môžem si predĺžiť platnosť isicu?;;;;
179;;ISIC;;JK;Kde si môžem predĺžiť ISIC kartu? ;Kde viem predĺžiť ISIC?;Kde mi predĺžia platnosť ISIC?;Na akom mieste sa predlžuje isic?;;;;
306;;ISIC;;JK;Pomýlil som sa pri vypisovaní ISIC údajov, je možné ich zmeniť?;Viem zmeniť údaje, ktoré som zadal do ISIC? ;Zmením údaje na ISIC?;Môžem si zmeniť údaje na isicu?;;;;
307;;ISIC;;JK;Je možné chodiť na fri aj bez ISIC karty?;Je možné chodiť na fri aj bez preukazu študenta?;Pustia ma na FRI aj bez preukazu študenta?;Pustia ma na FRI aj bez  ISIC?;Musím mať ISIC?;;;
308;;ISIC;;JK;Ak nemám predĺženú ISIC kartu, je možné chodiť do školy?;Ak nemám predĺžený preukaz študenta, je možné chodiť do školy?;Ak nemám predĺženú ISIC kartu, pustia ma do školy?;Ak nemám predĺžený preukaz študenta, pustia ma do školy?;;;;
399;;ISIC;;AP;Kde si vybavím ISIC?;Kde si vybavím preukaz študenta?;Kde vydávajú ISIC?;Kde vydávajú preukaz študenta?;;;;
400;;ISIC;;AP;Do kedy je možné predĺžiť si ISIC?;Do kedy je možné predĺžiť preukaz študenta?;Posledný termín do kedy si viem predĺžiť isic?;Posledný dátum predĺženie isicu?;;;;
59;;Katedra;BID;JO;Aké katedry sa nachádzajú na FRI?;Aké ma FRI katedry?;FRI katedry?;Z akých katedier je fakulta?;Aké katedry sú na fakulte?;;;
60;;Katedra;BID;JO;Kde nájdem katedru informatiky?;Kde je katedra informatiky?;Kde sa nachádza katedra informatiky?;Kde je KI?;Kde nájdem KI?;;;
61;;Katedra;BID;JO;Kde nájdem katedru informačných sietí?;Kde je katedra informačných sietí?;Kde sa nachádza katedra informačných sietí?;Kde je KIS?;Kde nájdem KIS?;;;
62;;Katedra;BID;JO;Kde nájdem katedru makro a mikroekonomiky?;Kde je katedra makro a mikroekonomiky?;Kde sa nachádza katedra makro a mikroekonomiky?;Kde je KMME?;Kde nájdem KMME?;;;
63;;Katedra;BID;JO;Kde nájdem katedru matematických metód a operačnej analýze?;Kde je katedra matematických metód a operačnej analýze?;Kde sa nachádza katedra matematických metód a operačnej analýze?;Kde je frdsa?;Kde nájdem FRDSA?;;;
64;;Katedra;BID;JO;Kde nájdem katedru manažerských teórií?;Kde je katedra manažerských teórií?;Kde sa nachádza katedra manažerských teórií?;Kde je KMNT?;Kde nájdem KMNT?;;;
65;;Katedra;BID;JO;Kde nájdem katedru softvérových technológií;Kde je katedra softvérových technológií;Kde sa nachádza katedra softvérových technológií;Kde je KST?;Kde nájdem KST?;;;
66;;Katedra;BID;JO;Kde nájdem katedru technickej kybernetiky?;Kde je katedra technickej kybernetiky?;Kde sa nachádza katedra technickej kybernetiky?;Kde je FRTK?;Kde nájdem FRTK?;;;
1;;Kredity;B;JO, AP;Aký je minimálny počet kreditov na opakovanie prvého ročníka bakalárskeho štúdia?;Koľko kreditov potrebujem na zápis do rovnakého ročníka v prvom ročníku na bakalarskom štúdiu?;Koľko kreditov potrebujem pre opakovanie prvého ročníka na prvom stupni?;Aký počet kreditov musím mať aby som mohol opakovať prvý ročník na bakalárskon stupni?;Minimálny počet kreditov pre opakovanie 1. ročníka na 1. stupni?;;;
2;;Kredity;B;JO, AP;Aký je minimálny počet kreditov na opakovanie druhého ročníka bakalárskeho štúdia?;Koľko kreditov potrebujem na zápis do rovnakého ročníka v druhom ročníku  na bakalarskom štúdiu?;Koľko kreditov potrebujem pre opakovanie druhého ročníka na prvom stupni?;Aký počet kreditov musím mať aby som mohol opakovať druhý ročník na bakalárskon stupni?;Minimálny počet kreditov pre opakovanie 2. ročníka na 1. stupni?;;;
3;;Kredity;B;JO, AP;Aký je minimálny počet kreditov na opakovanie tretieho ročníka bakalárskeho štúdia?;Koľko kreditov potrebujem na zápis do rovnakého ročníka v treťom ročníku  na bakalarskom štúdiu?;Koľko kreditov potrebujem pre opakovanie tretieho ročníka na prvom stupni?;Aký počet kreditov musím mať aby som mohol opakovať tretí ročník na bakalárskon stupni?;Minimálny počet kreditov pre opakovanie 3. ročníka na 1. stupni?;;;
185;;Kredity;;JK;Koľko kreditov potrebujem pre opätovné zapísanie do toho istého ročníka?;Minimálny počet kreditov na opakovanie ročníka?;Aspoň koľko predmetov musím mať na opakovanie ročníka?;Koľko kreditom musím mať aby som mohol opakovať ročník?;;;;
186;;Kredity;;JK;Koľko kreditov potrebujem pre zapísanie do vyššieho ročníka?;Minimálny počet kreditov na postup do ďalšieho ročníka?;Aspoň koľko predmetov musím mať na zpísanie sa do vyššieho ročníka?;Koľko kreditom musím mať aby som mohol postúpiť do ďalšieho ročníka?;;;;
187;;Kredity;;JK;Koľko kreditov potrebujem pre uzatvorenie štúdia?;Minimálny počet kreditov na uzavretie ročníka?;Aspoň koľko predmetov musím mať na uzavretie ročníka?;Koľko kreditom musím mať aby som mohol uzavrieť ročník?;;;;
209;;Kredity;;JK;Sú nutné kredity aj z volitelných predmetov?;Potrebujem kredity z voliteľných predmetov?;Je nutné mať voliteľné predmety?;Musím si zapísať voliteľné predmety?;;;;
371;;Kredity;;AP;Koľko kreditov potrebujem na zápis do vyššieho ročníka v prvom ročníku na bakalarskom štúdiu?;Aký je minimálny počet kreditov na zápis do vyššieho ročníka v prvom ročníku bakalárskeho štúdia?;Koľko kreditov potrebujem na zápis do výššieho ročníka na prvom stupni v prvom ročníku?;Aký počet kreditov musím mať aby som mohol ísť do ďalšieho ročníka v prvom ročníku na bakalárskon stupni?;Minimálny počet kreditov pre postup do vyššieho ročníka v 1. ročníku na 1. stupni?;;;
372;;Kredity;;AP;Koľko kreditov potrebujem na zápis do vyššieho ročníka v druhom ročníku  na bakalarskom štúdiu?;Aký je minimálny počet kreditov na zápis do vyššieho ročníka v druhom ročníku bakalárskeho štúdia?;Koľko kreditov potrebujem na zápis do výššieho ročníka na prvom stupni v druhom ročníku?;Aký počet kreditov musím mať aby som mohol ísť do ďalšieho ročníka v druhom ročníku na bakalárskon stupni?;Minimálny počet kreditov pre postup do vyššieho ročníka v 2. ročníku na 1. stupni?;;;
376;;Kredity;;AP;Koľko kreditov potrebujem na ukončenie inžinierského štúdia?;Aký je minimály počet kreditov na ukončenie inžinierského štúdia?;Koľko kreditov potrebujem pre ukončenie ing. štúdia?;Aký počet kreditov musím mať aby som mohol ukončiť druhý stupeň?;Minimálny počet kreditov pre ukončenie 2. stupňa?;;;
80;;Miestnosť;;JO, JK;Kde nájdem študíjny referát?;Kde sa nachádza štúdijný referát?;Kde je štúdijné oddelenie?;V ktorej miestnosti je štúdijné oddelenie?;V ktorej miestnosti je štúdijný referát?;;;
104;;Miestnosť;;JO;Ako je možné zarezervovať si miestnosť?;Ako si viem rezervovať miestnosť?;Ako rezervovať učebňu?;Akým spôsobom si rezervujem učebňu?;;;;
105;;Miestnosť;;JO;Kde nájdem rezerváciu miestností?;Kde si rezervujem učebňu?;Kde si môžem rezervovať miestnosť?;Kde sa rezervuje trieda?;Kde si viem obsadiť učebňu?;;;
190;;Miestnosť;;JK;Chcem ísť za pánom prodekanom. V ktorej miestnosti by som ho vedel nájsť? ;Kde nájdem pána prodekana?;V akej miestnosti je prodekan?;Kancelária prodekana?;V ktorej kancelárii je prodekan?;;;
43;;O škole;BID;JO, AP;V aký rok vznikla FRI?;Kedy vznikla FRI?;Od kedy je fri?;Dátum vzniku fakulty?;;;;
44;;O škole;BID;JO, AP;V aký rok vznikla UNIZA?;Kedy vznikla UNIZA?;Od kedy je uniza?;Dátum vzniku univerzity?;;;;
92;;O škole;;JO;Aká je webová stránka UNIZA?;Aký web má UNIZA?;Link na stránku univerzita?;Akú ma univerzita stránku?;Web na unizu?;;;
93;;O škole;;JO;Aká je webová stránka FRI?;Aký web má FRI?;Link na stránku fakulty?;Akú ma fakulta stránku?;Web na fakultu?;;;
305;;O škole;;JK;Aká je presná adresa FRI?;Kde sa nachádza FRI?;Kde nájdem FRI?;Kde je fakulta?;Adresa fakulty?;;;
392;;O škole;;AP;Čo znamená skratka FRI?;Čo znamená FRI?;Z čoho vzniklo FRI?;Prečo skratka FRI?;;;;
139;;Poplatky;;JO, JK;Aká je výška poplatku za prihlášku?;Je za prihlášku na štúdium poplatok?;Koľko stojí nová prihláška?;Aká je cena prihlášky?;;;;
141;;Poplatky;;JO;Na aký účet je potrebné odoslať poplatok za prihlášku?;Na aký účet sa posielajú peniaze za prihlášku?;Kde zaplatiť prihlášku?;Kam sa platí účet za prihlášku?;;;;
441;;Poplatky;;AP;Koľko stojí internát?;Aký je poplatok za internát?;Koľko sa platí za internát?;Aká je cena internátu?;;;;
129;;Prax;;JO, AP;Je možné absolvovať predmet prax na fakulte?;Môžem absolvovať prax aj na fakulte?;Poskytuje FRI fakultnú prax?;Dá sa na fri robiť prax?;Môžem si odrobiť prax na fakulte?;;;
130;;Prax;;JO;Koľko je minimálny počet hodín praxe?;Koľko hodín praxe musím absolvovať?;Koľko hodín praxe musím odpracovať?;Minimálny počet hodín praxe?;;;;
53;;Predmet;BID;JO;Čo sú to povinné predmety?;Čo to znamená povinný predmet?;Aký to je povinný predmet?;Aká je definícia povinného predmetu?;Čo znamená pojem povinný predmet?;;;
54;;Predmet;BID;JO;Čo sú to povinne voliteľné predmety?;Čo to znamená povinne voliteľný predmet?;Aký to je povinne voliteľný predmet?;Aká je definícia povinne voliteľného predmetu?;Čo znamená pojem povinne voliteľný predmet?;;;
55;;Predmet;BID;JO;Čo sú to voliteľné predmety?;Čo to znamená voliteľný predmet?;Aký to je voliteľný predmet?;Aká je definícia voliteľného predmetu?;Čo znamená pojem voliteľný predmet?;;;
122;;Predmet;;JO;Aká je maximálna dĺžka platnosti známky z predmetu?;Ako dlho platí známka z predmetu?;Koľko rokov platí známka z predmetu?;Majú známky z predmetov maximálnu platnosť?;Má známka z predmetu maximálnu dĺžku platnosti?;;;
123;;Predmet;;JO;Je možné uznať predmety po prechode z inej fakulty?;Môžem si nechať uznať predmety, ktoré som absolvoval na inej fakulte?;Budú mi uznané predmety absolvované na inej fakulte?;Sú uznávané predmety, ktoré som absolvoval na inej fakulte?;Je možné uznanie predmetov, ktoré som absolvoval na inej fakulte?;;;
124;;Predmet;;JO;Je možné uznať predmety po prechode z inej Vysokej Školy?;Môžem si nechať uznať predmety, ktoré som absolvoval na inej vysokej škole?;Budú mi uznané predmety absolvované na inej vysokej škole?;Sú uznávané predmety, ktoré som absolvoval na inej fakulte?;Je možné uznanie predmetov, ktoré som absolvoval na inej vysokej škole?;;;
149;;Predmet;;JO;Kde nájdem predmety programu Informatika?;Je možné nájsť popis predmetov pre odbor Informatiky?;Dajú sa zistiť predmety pre študíjny program Informatika?;Aké sú predmety študíjneho programu Informatika?;Aké sú predmety pre študíjny program Informatika?;;;
150;;Predmet;;JO;Kde nájdem predmety programu Manažment?;Je možné nájsť popis predmetov pre odbor Manažment?;Dajú sa zistiť predmety pre študíjny program Manažment?;Aké sú predmety študíjneho programu Manažment?;Aké sú predmety pre študíjny program Manažment?;;;
151;;Predmet;;JO;Kde nájdem predmety programu Počítačové Inžinierstvo?;Je možné nájsť popis predmetov pre odbor Počítačové Inžinierstvo?;Dajú sa zistiť predmety pre študíjny program Počítačové Inžinierstvo?;Aké sú predmety študíjneho programu Počítačové Inžinierstvo?;Aké sú predmety pre študíjny program Počítačové Inžinierstvo?;;;
152;;Predmet;;JO;Kde nájdem predmety programu Biomedicínske inžinierstvo?;Je možné nájsť popis predmetov pre odbor Biomedicínske inžinierstvo?;Dajú sa zistiť predmety pre študíjny program Biomedicínske inžinierstvo?;Aké sú predmety študíjneho programu Biomedicínske inžinierstvo?;Aké sú predmety pre študíjny program Biomedicínske inžinierstvo?;;;
153;;Predmet;;JO;Kde nájdem predmety programu Inteligentné informačné systémy?;Je možné nájsť popis predmetov pre odbor Inteligentné informačné systémy?;Dajú sa zistiť predmety pre študíjny program Inteligentné informačné systémy?;Aké sú predmety študíjneho programu Inteligentné informačné systémy?;Aké sú predmety pre študíjny program Inteligentné informačné systémy?;;;
154;;Predmet;;JO;Kde nájdem predmety programu Informačné systémy?;Je možné nájsť popis predmetov pre odbor Informačné systémy?;Dajú sa zistiť predmety pre študíjny program Informačné systémy?;Aké sú predmety študíjneho programu Informačné systémy?;Aké sú predmety pre študíjny program Informačné systémy?;;;
155;;Predmet;;JO;Kde nájdem predmety programu Informačný manažment?;Je možné nájsť popis predmetov pre odbor Informačný manažment?;Dajú sa zistiť predmety pre študíjny program Informačný manažment?;Aké sú predmety študíjneho programu Informačný manažment?;Aké sú predmety pre študíjny program Informačný manažment?;;;
156;;Predmet;;JO;Kde nájdem predmety programu Aplikované sieťové inžinierstvo.;Je možné nájsť popis predmetov pre odbor Aplikované sieťové inžinierstvo?;Dajú sa zistiť predmety pre študíjny program Aplikované sieťové inžinierstvo?;Aké sú predmety študíjneho programu Aplikované sieťové inžinierstvo?;Aké sú predmety pre študíjny program Aplikované sieťové inžinierstvo?;;;
157;;Predmet;;JO;Rátajú sa mi predmety ako povinne voliteľné v prípade, že ich nemám vo svojom odbore?;Budú mi uznané povinne voliteľné predmety z iných odborov?;Sú povinne voliteľné predmety z iných študíjnych programov uznávané?;Je možné uznať povinne voliteľné predmety v prípade že sú z iného odboru?;Sú povinne voliteľné predmety z iných študíjnych programov uznávané?;;;
172;;Predmet;;JK;Ako dlho od absolvovania predmetu je možné ho uznať?;Po akú dlhú dobu od absolvovania je možné nechať si uznať predmet?;Aká dlhá je platnosť predmetov ktoré som absolvoval?;Aká je platnosť predmetov, ktoré som absolvoval v predchádzajúcich rokoch?;Koľko rokov platí známka z predmetu?;;;
189;;Predmet;;JK;Môžem si zapísať predmety aj z iného odboru?;Je možné si zapísať aj predmety z iného odboru?;Môžem si zapísať aj predmety ktoré sa nenachádzajú v mojom študíjnom programe?;Je možné si zapísať aj predmety iných študíjnych odborov?;Môžem si zapísať aj predmety ktoré sa nenachádzajú v mojom študíjnom odbore?;;;
192;;Predmet;;JK;Prichádzam z FIIT, ako mám postupovať pri uznávaní predmetov?;Prechádzam z inej fakulty, ako si môžem nechať uznať predmety, ktoré som absolvoval?;Ako si môžem nechať uznať predmety absolvované na inej fakulte?;Aký je postup pri uznávaní predmetov absolvovaných na iných fakultách?;Ako mám konať v prípade že si chcem nechať uznať predmety z inej fakulty?;;;
203;;Predmet;;JK;V rozvrhu sa mi nezobrazujú predmety, ako mám postupovať?;V rozvrhu nevidím všetky predmety, čo mám robiť?;Ako postupovať ak sa mi nezobrazujú v rozvrhu všetky moje predmety?;Môj rozvrh neobsahuje všetky predmety, ktoré mám prihlásené.;Čo mám robiť ak sa mi nezobrazujú všetky moje predmety v rozvrhu?;;;
277;;Predmet;;JK;Je možné uznať predmety aj po viac ako 3 rokoch od absolvovania skúšky?;Môžem si nechať uznať predmety aj viac ako 3 roky od absolvovania skúšky?;Dá sa absolvované predmety uznať aj viac ako 3 roky od absolvovania?;Uznavájú sa predmety aj viac ako 3 roky od ich absolvovania?;Je možné uznať predmet ktorý som absolvoval viac ako 3 roky dozadu?;;;
299;;Predmet;;JK;Kde nájdem vypísané predmety po novej akreditácií?;Kde je možné vidieť predmety v novej akreditácií?;Kde nájdem predmety aktuálne po novej akreditácií?;Je možné vidieť predmety ktoré sa nachádzajú v novej akreditácií?;Chcel by som nájsť predmety, ktoré sa nachádzajú v novej akreditácií.;;;
311;;Predmet;;JK;Na Teamse sa mi zobrazujú predmety, ktoré som už absolvoval, čo s tým mám robiť?;V aplikácií teams ešte stále mám predmety, ktoré som už absolvoval.;Ako postupovať ak mám v aplikácií MS Teams už absolvované predmety?;Teams obsahuje predmety ktoré som absolvoval v minulých semestroch.;Ako môžem z aplikácie teams vymazať predmety ktoré som už absolvoval?;;;
312;;Predmet;;JK;Na Teamse sa mi nezobrazujú predmety, ktoré mám zapísané, viete mi ich tam dokliknúť?;V aplikácií teams nemám predmety na ktoré som prihlásený;Nevidím v aplikácií teams všetky moje predmety.;Teams neobsahuje všetky predmety ktoré mám v rozvrhu.;Ako si môžem pridať do aplikácie teams všetky moje predmety?;;;
313;;Predmet;;JK;Na Teamse sa mi zobrazujú predmety z minulých rokov, viete mi ich odpísať?;V aplikácií teams ešte stále mám predmety, ktoré som absolvoval v minulých rokoch.;Ako postupovať ak mám v aplikácií MS Teams predmety z minulých rokov?;Teams obsahuje predmety ktoré som absolvoval v minulých rokoch.;Ako môžem z aplikácie teams vymazať predmety ktoré som už absolvoval počas minulých rokov?;;;
314;;Predmet;;JK;Na Teamse sa mi zobrazujú bakalárske predmety, čo s tým mám robiť?;V aplikácií teams ešte stále mám predmety, ktoré som absolvoval počas bakalárskeho štúdia.;Ako postupovať ak mám v aplkácií MS Teams predmety z bakalárskeh štúdia?;Teams obsahuje predmety ktoré som absolvoval počas bakalárskeho štúdia.;Ako môžem z aplikácie teams vymazať predmety ktoré som už absolvoval počas bakalárskeho štúdia?;;;
388;;Predmet;;AP;Aký výber predmetov mám?;Kde nájdem aké predmety mám na výber?;Aké predmety mám na výber počas môjho štúdia?;Ktoré predmety mám na výber na prihlásenie?;Aké voliteľne a povinne voliteľné predmety mám na výber?;;;
39;;Prijímačky;;JO, AP, JK;Kedy je príjmacie konanie?;Kedy sú prijímačky?;Kedy budú prebiehať prijímačky na FRI?;V aký dátum prebiehajú príjmačky?;Kedy prebieha príjmacie konanie na fakultu?;;;
200;;Prijímačky;;JK;Kde nájdem informácie o prijímacom konaní?;Kde nájdem informácie o príjmacom konaní?;Ako nájdem viac informácií o príjmacom konaní?;Kde je možné nájsť informácie o príjmačkach?;Kde je možné nájsť informácie o príjmacom konaní?;;;
275;;Prijímačky;;JK;Aké sú podmienky prijatia na bakalárske štúdium bez prijímačiek?;Za akých podmienok môžem ísť na bakalárske štúdium bez príjmačiek?;Aké sú podmienky pre prijatie na bakalára bez príjmačiek?;Kedy je možné ísť na bakalárske štúdium bez príjmacieho konania?;Čo musím spĺňať aby som bol prijatý na bakalárske štúdium bez príjmačiek?;;;
276;;Prijímačky;;JK;Aké sú podmienky prijatia na inžinierske štúdium programu x bez prijímačiek?;Za akých podmienok môžem ísť na inžinierske štúdium bez príjmačiek?;Aké sú podmienky pre prijatie na inžiniera bez príjmačiek?;Kedy je možné ísť na inžinierske štúdium bez príjmacieho konania?;Čo musím spĺňať aby som bol prijatý na inžinierske štúdium bez príjmačiek?;;;
291;;Prijímačky;;JK;Čo všetko si treba priniesť na prijímačky?;Čo všetko je potrebné priniesť na príjmacie konanie?;Čo je nutné doniesť na príjmacie konanie?;Aké dokumenty sú potrebné pri prijmačkách?;Čo si mám doniesť na príjmacie konanie?;;;
292;;Prijímačky;;JK, AP;Kde nájdem výsledky prijímačiek?;Kde nájdem výsledky prijímacieho konania?;Kde je možné nájst výsledky príjmačiek?;Kde je možné nájsť výsledky príjmacieho konania?;Kde sú výsledky príjmacieho konania?;;;
326;;Prijímačky;;JK;Ako prebieha prijímacie konanie na univerzite?;Ako prebieha príjmacie konanie?;Ako prebiehajú príjmačky?;Aký je postup pri príjmacom konaní?;Ako sa postupuje počas príjmačiek?;;;
343;;Prijímačky;;JK;Aké sú podmienky pre prijatie na doktorantské štúdium?;Aké podmienky pre prijatie má doktorantské štúdium?;Aké podmienky musím spĺňať pre doktorantské štúdium?;Ktoré podmienky sú potrebné pre doktorantské štúdium?;Za akých podmienok môžem ísť na doktorantské štúdium?;;;
428;;Prijímačky;;AP;Aké sú podmienky prijatia bez prijímačiek?;Za akých podmienok môžem ísť študovať bez príjmačiek?;Aké sú podmienky pre prijatie bez príjmačiek?;Kedy je možné byť prijatý bez príjmacieho konania?;Čo musím spĺňať aby som bol prijatý bez príjmačiek?;;;
430;;Prijímačky;;AP;Aké testy môžem očakávať na prijímačkach?;Aké otázky môžem očakávaň na príjmacom konaní?;Aký typ testu môžem očakávať na príjmacom konaní?;Aké testy sú súčasťou príjmacieho konania?;Čo je súčasťou testov na príjmačkách?;;;
98;;Projekt;;JO, JK;Kde môžem nájsť projekty inžinierského štúdia?;Kde nájdem vypísané inžinierske projekty?;Kde sú dostupné projekty inžinierského štúdia?;Je možné nájsť výpis projektov inžinierského štúdia?;Kde sa nachádzajú dostupné inžinierske projekty?;;;
298;;Projekt;;JK;Nebaví ma inžiniersky projekt je možné ho zmeniť?;Môžem zmeniť inžiniersky projekt?;Je možné zmeniť inžiniersky projekt?;Chcel by som zmeniť inžiniersky projekt.;Ako postupovať ak chcem zmeniť inžiniersky projekt?;;;
422;;Projekt;;AP;Ako si vyberiem projekt na inžinierskom štúdiu?;Ako si vybrať inžiniersky projekt?;Aké sú možnosti výberu inžinierského projektu?;Ako si vybrať projekt počas inžinierskeho štúdia?;Aké sú možnosti výberu projektu počas inžinierskeho štúdia?;;;
23;;Semester;BID;JO, AP;Kedy je začiatok letného semestra?;Kedy začína letný semester?;V aký dátum začína letný semester?;Aký je dátum začiatku letného semestra?;Aký je začiatok letného semestra?;;;
24;;Semester;BID;JO, AP;Kedy je koniec letného semestra?;Kedy končí letný semester?;V aký dátum končí letný semester?;Aký je dátum konca letného semestra?;Aký je koniec letného semestra?;;;
25;;Semester;BID;JO, AP;Kedy je začiatok zimného semestra?;Kedy začína zimný semester?;V aký dátum začína zimný semester?;Aký je dátum začiatku zimného semestra?;Aký je začiatok zimného semestra?;;;
26;;Semester;BID;JO, AP;Kedy je koniec zimného semestra?;Kedy končí zimný semester?;V aký dátum končí zimný semester?;Aký je dátum konca zimného semestra?;Aký je koniec zimného semestra?;;;
27;;Skúškové obdobie;BID;JO, AP;Kedy je koniec letného skúškového obdobia?;Kedy končí skúškové obdobie letného semestra?;V aký dátum končí skúškové obdobie počas letného semestra?;Aký je dátum konca skúškového obdobia letného semestra?;Aký je koniec skúškového obdobia letného semestra?;;;
