ID;Tag;Kategória;Štúdium;Autor;Otázka;Obmena 1;Obmena 2;Obmena 3;Obmena 4;Odpoveď 1;Odpoveď 2;Odpoveď 3
62;;Katedra;BID;JO;Kde nájdem katedru makro a mikroekonomiky?;Kde je katedra makro a mikroekonomiky?;Kde sa nachádza katedra makro a mikroekonomiky?;Kde je KMME?;Kde nájdem KMME?;Vedúceho doc. Ing. Mária Ďurišová, PhD. nájdeš v miestnosti RB204, v danej blízkosti je celá katedra.;;
63;;Katedra;BID;JO;Kde nájdem katedru matematických metód a operačnej analýze?;Kde je katedra matematických metód a operačnej analýze?;Kde sa nachádza katedra matematických metód a operačnej analýze?;Kde je frdsa?;Kde nájdem FRDSA?;Vedúceho prof. Ing. Ľudmila Jánošíková, PhD. nájdeš v miestnosti RA226, v danej blízkosti je celá katedra.;;
64;;Katedra;BID;JO;Kde nájdem katedru manažerských teórií?;Kde je katedra manažerských teórií?;Kde sa nachádza katedra manažerských teórií?;Kde je KMNT?;Kde nájdem KMNT?;Vedúceho prof. Ing. Milan Kubina, PhD. nájdeš v miestnosti RB252, v danej blízkosti je celá katedra.;;
65;;Katedra;BID;JO;Kde nájdem katedru softvérových technológií;Kde je katedra softvérových technológií;Kde sa nachádza katedra softvérových technológií;Kde je KST?;Kde nájdem KST?;Vedúceho Ing. Viliam Tavač, PhD. nájdeš v miestnosti RB120, v danej blízkosti je celá katedra.;;
66;;Katedra;BID;JO;Kde nájdem katedru technickej kybernetiky?;Kde je katedra technickej kybernetiky?;Kde sa nachádza katedra technickej kybernetiky?;Kde je FRTK?;Kde nájdem FRTK?;Vedúceho prof. Ing. Peter Ševčík, PhD. nájdeš v miestnosti RB111, v danej blízkosti je celá katedra.;;
1;;Kredity;B;JO, AP;Aký je minimálny počet kreditov na opakovanie prvého ročníka bakalárskeho štúdia?;Koľko kreditov potrebujem na zápis do rovnakého ročníka v prvom ročníku na bakalarskom štúdiu?;;;;20 kreditov;;
2;;Kredity;B;JO, AP;Aký je minimálny počet kreditov na opakovanie druhého ročníka bakalárskeho štúdia?;Koľko kreditov potrebujem na zápis do rovnakého ročníka v druhom ročníku  na bakalarskom štúdiu?;;;;60 kreditov;;
3;;Kredity;B;JO, AP;Aký je minimálny počet kreditov na opakovanie tretieho ročníka bakalárskeho štúdia?;Koľko kreditov potrebujem na zápis do rovnakého ročníka v treťom ročníku  na bakalarskom štúdiu?;;;;100 kreditov;;
4;;Kredity;B;JO, AP;Koľko kreditov potrebujem pri študijnom programe Informatika z povinne voliteľných predmetov?;Aký je minimálny počet kreditov za povinne voliteľné predmety v študijnom programe informatika?;;;;15 kreditov;;
5;;Kredity;B;JO, AP;Koľko kreditov potrebujem pri študijnom programe Manažment z povinne voliteľných predmetov?;Aký je minimálny počet kreditov za povinne voliteľné predmety v študijnom programe manažment?;;;;20 kreditov;;
6;;Kredity;B, I;JO, AP;Koľko kreditov potrebujem pri študijnom programe Počítačové inžinierstvo z povinne voliteľných predmetov?;Aký je minimálny počet kreditov za povinne voliteľné predmety v študijnom programe počítačové inžinierstvo?;;;;15 kreditov;;
7;;Kredity;B;JO;Aký je odporúčaný počet kreditov na opakovanie prvého ročníka bakalárskeho štúdia?;;;;;Minimálny počet kreditov na opakovanie prvého ročníka je 20;;
8;;Kredity;B;JO;Aký je odporúčaný počet kreditov na opakovanie druhého ročníka bakalárskeho štúdia?;;;;;Minimálny počet kreditov na opakovanie druhého ročníka je 60;;
9;;Kredity;B;JO, AP;Aký je minimálny počet kreditov na uzavretie bakalárskeho štúdia?;Koľko kreditov potrebujem na ukončenie bakalárskeho štúdia?;;;;180 kreditov;;
185;;Kredity;;JK;Koľko kreditov potrebujem pre opätovné zapísanie do toho istého ročníka?;;;;;Záleží od aktuálneho ročníka;;
186;;Kredity;;JK;Koľko kreditov potrebujem pre zapísanie do vyššieho ročníka?;;;;;Záleží od aktuálneho ročníka;;
187;;Kredity;;JK;Koľko kreditov potrebujem pre uzatvorenie štúdia?;;;;;Záleží od aktuálneho ročníka;;
209;;Kredity;;JK;Sú nutné kredity aj z volitelných predmetov?;;;;;Nie sú povinné, ale odporúčame si zapisovať aj voliteľné predmety pre dostatok kreditov;;
371;;Kredity;;AP;Koľko kreditov potrebujem na zápis do vyššieho ročníka v prvom ročníku na bakalarskom štúdiu?;Aký je minimálny počet kreditov na zápis do vyššieho ročníka v prvom ročníku bakalárskeho štúdia?;;;;40 kreditov;;
372;;Kredity;;AP;Koľko kreditov potrebujem na zápis do vyššieho ročníka v druhom ročníku  na bakalarskom štúdiu?;Aký je minimálny počet kreditov na zápis do vyššieho ročníka v druhom ročníku bakalárskeho štúdia?;;;;80 kreditov;;
376;;Kredity;;AP;Koľko kreditov potrebujem na ukončenie inžinierského štúdia?;Aký je minimály počet kreditov na ukončenie inžinierského štúdia?;;;;120 kreditov.;Tak akurát.;
377;;Kredity;I;AP;Aký je minimálny počet kreditov za povinne voliteľné predmety v študijnom programe informačné systémy?;Koľko kreditov potrebujem za povinne voliteľné predmety v študijnom programe informačné systémy?;;;;15 kreditov.;;
378;;Kredity;I;AP;Aký je minimálny počet kreditov za povinne voliteľné predmety v študijnom programe informačný manažment?;Koľko kreditov potrebujem za povinne voliteľné predmety v študijnom programe informačný manažment?;;;;15 kreditov.;;
379;;Kredity;I, D;AP;Aký je minimálny počet kreditov za povinne voliteľné predmety v študijnom programe inteligentné informačné systémy?;Koľko kreditov potrebujem za povinne voliteľné predmety v študijnom programe inteligentné informačné systémy?;;;;15 kreditov.;;
380;;Kredity;I;AP;Aký je minimálny počet kreditov za povinne voliteľné predmety v študijnom programe aplikované sieťové inžinierstvo?;Koľko kreditov potrebujem za povinne voliteľné predmety v študijnom programe aplikované sieťové inžinierstvo?;;;;15 kreditov.;;
381;;Kredity;D;AP;Aký je minimálny počet kreditov za povinne voliteľné predmety v študijnom programe aplikovaná informatika?;Koľko kreditov potrebujem za povinne voliteľné predmety v študijnom programe aplikovaná informatika?;;;;15 kreditov.;;
382;;Kredity;D;AP;Aký je minimálny počet kreditov za povinne voliteľné predmety v študijnom programe manažment?;Aký je minimálny počet kreditov za povinne voliteľné predmety v študijnom programe manažment?;;;;15 kreditov.;;
80;;Miestnosť;;JO, JK;Kde nájdem študíjny referát?;Kde sa nachádza štúdijný referát?;;;;RA111.;Prvé poschodie a potom doľava.;
104;;Miestnosť;;JO;Ako je možné zarezervovať si miestnosť?;Ako si viem rezervovať miestnosť?;;;;Pôjdete na stránku https://www.fri.uniza.sk/schoolrooms/reservations.;;
105;;Miestnosť;;JO;Kde nájdem rezerváciu miestností?;;;;;Na stránke https://www.fri.uniza.sk/schoolrooms/reservations.;;
190;;Miestnosť;;JK;Chcem ísť za pánom prodekanom. V ktorej miestnosti by som ho vedel nájsť? ;Kde nájdem pána prodekana?;;;;RA102.;Tam kde sa nachádza.;
43;;O škole;BID;JO, AP;V aký rok vznikla FRI?;Kedy vznikla FRI?;;;;11.7.1990;;
44;;O škole;BID;JO, AP;V aký rok vznikla UNIZA?;Kedy vznikla UNIZA?;;;;10.1.1953;;
92;;O škole;;JO;Aká je webová stránka UNIZA?;;;;;https://www.uniza.sk;;
93;;O škole;;JO;Aká je webová stránka FRI?;;;;;https://www.fri.uniza.sk;;
112;;O škole;;JK, JO;Viem niekde nájsť plány budovy?;Kde nájdem mapu FRI?;;;;;Vieš?;
305;;O škole;;JK;Aká je presná adresa FRI?;;;;;Univerzitná 8215/1, 010 26 Žilina;;
392;;O škole;;AP;Čo znamená skratka FRI?;;;;;Fakulta riadenia a informatiky;;
139;;Poplatky;;JO, JK;Aká je výška poplatku za prihlášku?;Je za prihlášku na štúdium poplatok?;Koľko stojí nová prihláška?;;;20 €;;
141;;Poplatky;;JO;Na aký účet je potrebné odoslať poplatok za prihlášku?;;;;;SK96 8180 0000 0070 0026 9909;;
441;;Poplatky;;AP;Koľko stojí internát?;;;;;41-61€ mesačne;;
129;;Prax;;JO, AP;Je možné absolvovať predmet prax na fakulte?;Môžem absolvovať prax aj na fakulte?;;;;Áno, je tu možnosť využitia fakultnej praxe.;;
130;;Prax;;JO;Koľko je minimálny počet hodín praxe?;Koľko hodín praxe musím absolvovať?;Koľko hodín praxe musím odpracovať?;;;150 hodín;;
339;;Štipendium;;JK;Aká je maximálna možná suma tehotenského štipendia?;Koľko je maximálna suma tehotenského štipendia?;Aká je horná hranica tehotenského štipendia?;Aká suma je hornou hranicou tehotenského štipendia?;Aká je najvyššia suma tehotenského štipendia?;"Výška tehotenského štipendia je 200 eur mesačne. Vláda môže ustanoviť nariadením inú
výšku tehotenského štipendia. ";;
340;;Štipendium;;JK;Ako môžem získať tehotenské štipendium?;Ako je možné získať tehotenské štipendium?;V ako prípade môžem získať tehotenské štipendium?;Čo musím robiť aby som získal tehotenské štipendium?;Aké sú kroky ku získaniu tehotenské štipendia?;https://www.uniza.sk/images/pdf/stipendia/tehotenske/30032021_Postup-pri-podani-ziadosti-o-tehotenske-stipendium.pdf;;
393;;Štipendium;;AP;Aké sú podmienky získania štipendia?;Aké podmienky musím spĺňat pre získanie štipendia?;Ktoré podmienky sú nutné pre získanie štipendia?;Aké sú nutné podmienky pre získanie štipendia?;Akými podmienkami sú podmienené štipendiá?;;;
10;;Študijné programy;I;JO;Aké sú inžinierské študíjne programy?;Aké inžinierské študijné programy sú na FRI?;Aké inžinierské odbory sú na FRI?;Ktoré inžinierské študíjne programy existujú na FRI?;Ktoré inžinierské odbory existujú na FRI?;"Informačné systémy, Inteligentné informačné systémy, Biomedicínska informatika, Aplikované sieťové inžinierstvo, Informačný manažment, Počítačové inžinierstvo
Viac info tu:  https://www.fri.uniza.sk/stranka/ponukane-inzinierske-studijne-programy";;
11;;Študijné programy;B;JO;Aké sú bakalárske študíjne programy?;Aké bakalárske študijné programy sú na FRI?;Aké bakalárske odbory sú na FRI?;Ktoré bakalárske študíjne programy existujú na FRI?;Ktoré bakalárske odbory existujú na FRI?;"Informatika, Informatika a riadenie, Informačné a sieťové technológie, Manažment, Počítačové inžinierstvo
Viac info tu: https://www.fri.uniza.sk/stranka/ponukane-bakalarske-studijne-programy";;
12;;Študijné programy;D;JO;Aké sú doktorantské študíjne programy?;Aké doktorantské študijné programy sú na FRI?;Aké doktorantské odbory sú na FRI?;Ktoré doktorantské študíjne programy existujú na FRI?;Ktoré doktorantské odbory existujú na FRI?;Aplikovaná informatika, Manažment, Inteligentné informačné systémy;;
48;;Študijné programy;;JO;O čom je program Informatika?;Čo sa vyučuje v programe Informatika?;Čo sa vyučuje v odbore Informatika?;Aký je popis študíjneho programu Informatika?;Aký je popis odboru Informatika?;O bakalárskych študijných programoch sú informácie na nasledovnom linku: https://www.fri.uniza.sk/stranka/ponukane-bakalarske-studijne-programy;;
49;;Študijné programy;;JO;O čom je program Manažment?;Čo sa vyučuje v programe Manažment?;Čo sa vyučuje v odbore Manažment?;Aký je popis študíjneho programu Manažment?;Aký je popis odboru Manažment?;O bakalárskych študijných programoch sú informácie na nasledovnom linku: https://www.fri.uniza.sk/stranka/ponukane-bakalarske-studijne-programy;;
50;;Študijné programy;;JO;O čom je program Počítačové Inžinierstvo?;Čo sa vyučuje v programe Počítačové Inžinierstvo?;Čo sa vyučuje v odbore Počítačové Inžinierstvo?;Aký je popis študíjneho programu Počítačové Inžinierstvo?;Aký je popis odboru Počítačové Inžinierstvo?;O bakalárskych študijných programoch sú informácie na nasledovnom linku: https://www.fri.uniza.sk/stranka/ponukane-bakalarske-studijne-programy;;
51;;Študijné programy;;JO;O čom je program Biomedicínske inžinierstvo?;Čo sa vyučuje v programe Biomedicínske inžinierstvo?;Čo sa vyučuje v odbore Biomedicínske inžinierstvo?;Aký je popis študíjneho programu Biomedicínske inžinierstvo?;Aký je popis odboru Biomedicínske inžinierstvo?;https://youtu.be/DuV7m2yiCdU;;
52;;Študijné programy;;JO;O čom je program Inteligentné informačné systémy?;Čo sa vyučuje v programe Inteligentné informačné systémy?;Čo sa vyučuje v odbore Inteligentné informačné systémy?;Aký je popis študíjneho programu Inteligentné informačné systémy?;Aký je popis odboru Inteligentné informačné systémy?;https://youtu.be/zim6Sf3Rqjc;;
56;;Študijné programy;;JO;O čom je program Informačné systémy?;Čo sa vyučuje v programe Informačné systémy?;Čo sa vyučuje v odbore Informačné systémy?;Aký je popis študíjneho programu Informačné systémy?;Aký je popis odboru Informačné systémy?;"Informačné systémy - zameranie spracovanie dát:
https://youtu.be/iHhVYllG3j4
Informačné systémy - zameranie grafické spracovanie dát:
https://youtu.be/eN-xqn6fRVs
Informačné systémy - zameranie podniková informatika:
https://youtu.be/JW_oMOWygV8";;
57;;Študijné programy;;JO;O čom je program Informačný manažment?;Čo sa vyučuje v programe Informačný manažment?;Čo sa vyučuje v odbore Informačný manažment?;Aký je popis študíjneho programu Informačný manažment?;Aký je popis odboru Informačný manažment?;https://youtu.be/XbBZVT16bG0;;
58;;Študijné programy;;JO;O čom je program Aplikované sieťové inžinierstvo.;Čo sa vyučuje v programe Aplikované sieťové inžinierstvo?;Čo sa vyučuje v odbore Aplikované sieťové inžinierstvo?;Aký je popis študíjneho programu Aplikované sieťové inžinierstvo?;Aký je popis odboru Aplikované sieťové inžinierstvo?;https://youtu.be/_NctdDb3vK4;;
294;;Študijné programy;;JK;Kde nájdem nejaké presnejšie informácie k študijným programom na FRI?;Kde je možné nájsť detailný popis študijných programov FRI?;Kde je možné nájsť detailný popis odborov na FRI?;Ako nájdem presnejší popis študijných programov na FRI?;Ako najdem presnejší popis odborov na FRI?;https://www.fri.uniza.sk/ -> Uchádzači -> Ponúkané študijné programy;;
394;;Študijné programy;;AP;Aké študijné programy sú na FRI?;Ktoré študíjne programy sa vyučujú na FRI?;Ktoré odbory sa vyučujú na FRI?;Ktoré študíjne programy existujú na FRI?;Ktoré odbory existujú na FRI?;"Bakalárske štúdium:
Informatika, Informatika a riadenie, Informačné a sieťové technológie, Manažment, Počítačové inžinierstvo
Viac info tu: https://www.fri.uniza.sk/stranka/ponukane-bakalarske-studijne-programy
Inžinierske štúdium:
Informačné systémy, Inteligentné informačné systémy, Biomedicínska informatika, Aplikované sieťové inžinierstvo, Informačný manažment, Počítačové inžinierstvo
Viac info tu:  https://www.fri.uniza.sk/stranka/ponukane-inzinierske-studijne-programy
Doktorandské štúdium:
Aplikovaná informatika, Manažment, Inteligentné informačné systémy";;
81;;Študijný referát;;JO, AP;Aké sú úradné hodiny študíjneho referátu?;Do ktorej sú na študijnom referáte?;Kedy je možné príjsť na študíjny referát?;Aké sú úradne hodiny študíjneho referátu?;Kedy môžem navštíviť študíjne oddelenie?;"Úradné hodiny počas letných prázdnin (1.7. až 31.8.)
Pondelok až štvrtok 7:30 - 11:00 Pondelok	7:30 - 13:00 - počas vyučovania ZS+LS do 14:00 
Utorok	7:30 - 13:00
Streda	7:30 - 13:00
Štvrtok	7:30 - 13:00
Piatok	7:30 - 10:00";;
82;;Študijný referát;;JO, AP;Aký je email na študíjny referát?;Ktorý mail slúži na kontakt študíjneho referátu?;Aký je mail na študíjne oddelenie?;Akým mailom môžem kontaktovať študíjny referát?;Akým mailom môžem kontaktovať študíjne oddelenie?; studref@fri.uniza.sk, renata.novakova@fri.uniza.sk alebo maria.sicova@fri.uniza.sk;;
94;;Študijný referát;;JO;Ake je telefonné číslo na študíjny referát?;Ktoré telefónne číslo slúži na kontakt študíjneho referátu?;Aké je telefónne číslo na študíjne oddelenie?;Na ktorom telefonnom čísle môžem kontaktovač študíjny referát?;Ktorým telefónnym číslom môžem kontaktovač študíjne oddelenie?;;;
67;;Štúdium;BID;JO;Aké je hodnotenie študentov?;Ako funguje hodnotenie študentov?;Ako sa hodnotia študenti?;Aké sú hodnotenia študentov?;Čo je to hodnotenie študentov?;Hodnotenie známkou sa uskutočňuje podľa klasifikačnej stupnice, ktorú tvorí šesť klasifikačných stupňov: A (93-100), B(85-92), C(77-84), D(69-76), E(61-68), FX(<61);;
;;Erazmus;;JM;Kto si môže požiadať o erasmus?;Ako sa prihlásiť na erazmus?;Ako sa dostaťna erazmus?;Ako poslať prihlášku na erazmus?;;Odpoveď nájdete na linku = https://www.fri.uniza.sk/stranka/vseobecne-infomacie;;
;;Erazmus;;JM;Potrebujem vedieť aj iný jazyk ako anglicky ak chcem ísť na erasmus?;Je potrebné ovládať na erazme iný jazyk ako anglický?;Aký jazyk musím ovládať pre erazmus?;Aké jazyky musím vedieť ak chcem isť na erazmus?;;Odpoveď nájdete na linku = https://www.fri.uniza.sk/stranka/vseobecne-infomacie;;
;;Erazmus;;JM;Ak som študent 3. ročníka bc. Štúdia môžem ísť na Erasmus+ cez letné prazniny?;Dá sa ísť na erazmus počas letných prázdnin?;Môžem ísť na erazmus cez prázdniny?;Dá sa ísť na erazmus v lete?;;Odpoveď nájdete na linku = https://www.fri.uniza.sk/stranka/vseobecne-infomacie;;
;;Erazmus;;JM;Uznajú mi predmety počas erasmu?;Ako prebieha uznávanie predmetov na erazme?;Sú mi predmety absolvované na erazme uznané?;Rátajú sa mi kredity z erazmu?;Sú mi uznané kredity z pretmetov urobených počas erazmu?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/stranka/vseobecne-infomacie;;
;;Erazmus;;JM;Aka je výška grantu na erasmus?;Koľko dostanem z grantu na erazme?;Koľko je grant na erazme?;;;Odpoveď nájdete na linku = https://www.fri.uniza.sk/stranka/vseobecne-infomacie;;
;;Erazmus;;JM;Aká je maximalná dĺžka erasmu?;Ako dlho môžem byť ne erazme?;Ako dlho trvá erazmus?;;;Odpoveď nájdete na linku = https://www.fri.uniza.sk/stranka/vseobecne-infomacie;;
;;Erazmus;;JM;Kde nájdem prihlášku na erasmus+?;Kde je prihláška na erazmus?;Ako nájdem prihlášku na erazmus?;Kde sa prihlásim na erazmus?;;Odpoveď nájdete na linku = https://www.fri.uniza.sk/stranka/vseobecne-infomacie;;
;;Erazmus;;JM;Čo potrebujem okrem prihlášky na erasmus?;Aké sú pravidlá na prihlásenie na erazmus?;Čo mi treba na erazmus?;Čo je potrebné pre prihlásenie na erazmus?;;Odpoveď nájdete na linku = https://www.fri.uniza.sk/stranka/vseobecne-infomacie;;
;;Erazmus;;JM;Aký je odporúčaný počet kreditov za semester počas erasmu?;Koľko kreditov by som mala dostať počas erazmu?;Aký počet kreditov sa odporúča počas erazmu?;;;Odpoveď nájdete na linku = https://www.fri.uniza.sk/stranka/vseobecne-infomacie;;
;;Erazmus;;JM;Kedy mám ísť za vyučujúcim ak chcem uznať predmet počas erasmu?;Ako si uznať predmety za erazmus?;Ako si uznať predmety za erazmus?;;;Odpoveď nájdete na linku = https://www.fri.uniza.sk/stranka/vseobecne-infomacie;;
;;Erazmus;;JM;Čo musím doniest vyučujúcemu ak chcem uznať predmet počas erasmu?;Čo potrebuje vyučujúci pre uznanie kreditov za erazmus?;Čo potrebuje profesor pre uznanie predmetu za erazmus?;;;Odpoveď nájdete na linku = https://www.fri.uniza.sk/stranka/vseobecne-infomacie;;
;;Erazmus;;JM;Kde nájdem žiadosť o uznanie predmetov počas erasmu?;Kde je žiadosť o uznanie kreditov za erazmus?;Ked je žiadosť o uznanie predmotov za erazmus?;;;Odpoveď nájdete na linku = https://www.fri.uniza.sk/stranka/vseobecne-infomacie;;
;;Erazmus;;JM;Kde všade môžem ísť na erasmus?;Miesta na ktoré môžem ísť na erasmus?;Do ktorých krajín môžem ísť na erasmus?;Ktoré školy môžem navštíviť na erasme?;Čo môžem navštíviť počas erasmu?;Odpoveď nájdete na linku = https://www.fri.uniza.sk/stranka/vseobecne-infomacie;;
